Source;Target
0;1035
0;2331
0;1265
0;2425
1;2686
2;1248
3;545
3;838
3;2050
3;1406
3;1879
3;353
3;790
3;1408
3;1924
3;917
3;1969
3;2408
3;630
3;905
4;880
4;989
4;1007
4;2638
4;2492
4;2343
4;802
4;299
5;768
5;1081
5;1753
5;529
5;1002
5;2493
5;302
5;1822
6;2341
6;1464
6;737
6;125
6;2644
6;703
8;2530
8;951
8;1171
8;434
8;2138
8;1162
8;1425
8;2661
8;710
8;346
8;913
8;697
9;1371
10;2048
10;780
10;1692
10;1397
10;1631
11;909
11;167
11;1831
11;1974
11;513
11;1130
13;592
13;951
13;469
13;1832
13;915
13;1868
13;1624
13;2309
14;459
14;157
14;1225
14;910
14;1947
15;968
15;1072
15;685
15;2405
15;1917
15;863
15;2526
15;130
15;1032
15;2585
15;2407
15;1928
16;582
16;1929
16;215
16;1743
16;2676
16;2388
17;776
17;1427
17;1907
17;715
17;2025
17;2161
17;2326
17;2544
17;1396
17;218
17;2464
18;2002
18;2363
18;2163
18;1571
18;2320
18;1360
18;365
19;662
19;788
19;2346
20;1402
22;602
22;1195
22;626
22;899
22;514
22;1682
22;481
22;1742
22;1475
23;1758
23;556
23;2513
23;1572
23;1410
23;2092
24;1106
24;1222
24;227
24;2641
24;2472
24;236
24;1317
24;2624
25;418
25;1401
25;508
25;2477
26;1097
27;2554
27;1060
27;2406
27;914
27;1180
27;2273
27;2443
27;1820
27;2505
27;136
27;840
27;98
27;2546
27;421
27;1866
28;2150
28;560
28;1996
28;304
29;138
29;2094
29;1565
29;742
30;2667
30;1542
30;243
30;63
31;760
31;2112
31;1106
31;1892
31;1746
31;245
31;585
31;518
31;1217
31;1492
31;719
31;896
31;705
31;1224
31;978
32;853
32;18
32;1571
32;1390
32;1361
32;2363
32;1076
32;1215
32;994
32;1117
32;213
32;2490
32;1260
32;1709
32;439
32;1722
32;2415
32;263
32;608
32;967
32;960
32;891
33;1902
33;1286
33;2039
33;2693
33;2261
33;1086
33;750
35;1126
35;2605
35;2237
35;1014
35;2293
35;369
35;1138
35;1544
35;1097
35;26
36;1831
36;2389
36;2417
36;1411
36;2689
36;1253
36;1167
36;2687
36;1369
36;1239
36;2532
37;2006
37;181
37;429
37;1805
37;1582
38;1326
39;402
39;1313
39;1739
39;285
39;821
